query_id,baseline_rank,expl_rank,baseline_in_topk,expl_in_topk
q20361,6.0,70.0,True,False
q20362,1.0,34.0,True,True
q20363,1.0,26.0,True,True
q20364,503.0,inf,False,False
q20365,6.0,98.0,True,False
q20366,32.0,55.0,True,False
q20367,52.0,28.0,False,True
q20368,667.0,inf,False,False
q20369,5.0,99.0,True,False
q20370,41.0,inf,False,False
q20371,90.0,inf,False,False
q20372,15.0,inf,True,False
q20373,50.0,52.0,False,False
q20374,inf,83.0,False,False
q20375,45.0,inf,False,False
q20376,33.0,inf,True,False
q20377,22.0,inf,True,False
q20378,164.0,inf,False,False
q20379,7.0,inf,True,False
q20380,2.0,5.0,True,True
q20381,1.0,3.0,True,True
q20382,24.0,inf,True,False
q20383,28.0,7.0,True,True
q20384,1.0,1.0,True,True
q20385,2.0,inf,True,False
q20386,10.0,inf,True,False
q20387,4.0,25.0,True,True
q20388,8.0,6.0,True,True
q20389,6.0,inf,True,False
q20390,40.0,19.0,True,True
q20391,6.0,inf,True,False
q20392,16.0,20.0,True,True
q20393,507.0,inf,False,False
q20394,13.0,inf,True,False
q20395,1.0,21.0,True,True
q20396,3.0,46.0,True,False
q20397,6.0,inf,True,False
q20398,117.0,inf,False,False
q20399,66.0,inf,False,False
q20400,1.0,85.0,True,False
q20401,356.0,inf,False,False
q20402,74.0,24.0,False,True
q20403,169.0,64.0,False,False
q20404,81.0,inf,False,False
q20405,33.0,inf,True,False
q20406,6.0,inf,True,False
q20407,2.0,90.0,True,False
q20408,60.0,inf,False,False
q20409,26.0,5.0,True,True
q20410,12.0,72.0,True,False
q20411,12.0,inf,True,False
q20412,11.0,inf,True,False
q20413,14.0,83.0,True,False
q20414,56.0,57.0,False,False
q20415,10.0,13.0,True,True
q20416,4.0,28.0,True,True
q20417,8.0,inf,True,False
q20418,9.0,inf,True,False
q20419,19.0,inf,True,False
q20420,17.0,3.0,True,True
q20421,619.0,61.0,False,False
q20422,10.0,31.0,True,True
q20423,2.0,19.0,True,True
q20424,1.0,99.0,True,False
q20425,1.0,inf,True,False
q20426,139.0,inf,False,False
q20427,85.0,inf,False,False
q20428,22.0,53.0,True,False
q20429,15.0,23.0,True,True
q20430,245.0,inf,False,False
q20431,43.0,inf,False,False
q20432,10.0,inf,True,False
q20433,11.0,inf,True,False
q20434,16.0,9.0,True,True
q20435,7.0,inf,True,False
q20436,80.0,30.0,False,True
q20437,8.0,39.0,True,True
q20438,11.0,36.0,True,True
q20439,75.0,inf,False,False
q20440,32.0,inf,True,False
q20441,35.0,inf,True,False
q20442,2.0,7.0,True,True
q20443,9.0,7.0,True,True
q20444,1.0,1.0,True,True
q20445,5.0,13.0,True,True
q20446,1.0,5.0,True,True
q20447,9.0,25.0,True,True
q20448,10.0,inf,True,False
q20449,8.0,30.0,True,True
q20450,14.0,inf,True,False
q20451,22.0,inf,True,False
q20452,26.0,97.0,True,False
q20453,1.0,13.0,True,True
q20454,9.0,41.0,True,False
q20455,20.0,4.0,True,True
q20456,8.0,99.0,True,False
q20457,17.0,inf,True,False
q20458,11.0,inf,True,False
q20459,inf,inf,False,False
q20460,36.0,inf,True,False
q20461,38.0,inf,True,False
q20462,66.0,1.0,False,True
q20463,18.0,inf,True,False
q20464,679.0,inf,False,False
q20465,9.0,inf,True,False
q20466,7.0,inf,True,False
q20467,59.0,inf,False,False
q20468,3.0,1.0,True,True
q20469,476.0,inf,False,False
q20470,inf,inf,False,False
q20471,3.0,78.0,True,False
q20472,58.0,inf,False,False
q20473,1.0,11.0,True,True
q20474,33.0,inf,True,False
q20475,8.0,30.0,True,True
q20476,8.0,73.0,True,False
q20477,8.0,12.0,True,True
q20478,157.0,inf,False,False
q20479,inf,inf,False,False
q20480,130.0,89.0,False,False
q20481,10.0,9.0,True,True
q20482,102.0,inf,False,False
q20483,23.0,inf,True,False
q20484,4.0,6.0,True,True
q20485,3.0,3.0,True,True
q20486,9.0,10.0,True,True
q20487,4.0,inf,True,False
q20488,1.0,52.0,True,False
q20489,2.0,inf,True,False
q20490,1.0,inf,True,False
q20491,10.0,11.0,True,True
q20492,33.0,inf,True,False
q20493,20.0,35.0,True,True
q20494,24.0,inf,True,False
q20495,2.0,inf,True,False
q20496,10.0,94.0,True,False
q20497,24.0,inf,True,False
q20498,87.0,inf,False,False
q20499,19.0,3.0,True,True
q20500,26.0,61.0,True,False
q20501,8.0,inf,True,False
q20502,27.0,17.0,True,True
q20503,1.0,2.0,True,True
q20504,2.0,2.0,True,True
q20505,inf,inf,False,False
q20506,1.0,12.0,True,True
q20507,1.0,2.0,True,True
q20508,434.0,inf,False,False
q20509,3.0,4.0,True,True
q20510,131.0,inf,False,False
q20511,1.0,3.0,True,True
q20512,15.0,inf,True,False
q20513,104.0,inf,False,False
q20514,5.0,inf,True,False
q20515,19.0,inf,True,False
q20516,49.0,80.0,False,False
q20517,45.0,inf,False,False
q20518,4.0,38.0,True,True
q20519,164.0,inf,False,False
q20520,18.0,inf,True,False
q20521,inf,inf,False,False
q20522,121.0,inf,False,False
q20523,14.0,42.0,True,False
q20524,57.0,62.0,False,False
q20525,4.0,13.0,True,True
q20526,1.0,3.0,True,True
q20527,33.0,inf,True,False
q20528,1.0,1.0,True,True
q20529,1.0,5.0,True,True
q20530,62.0,inf,False,False
q20531,7.0,inf,True,False
q20532,23.0,26.0,True,True
q20533,21.0,inf,True,False
q20534,27.0,inf,True,False
q20535,8.0,4.0,True,True
q20536,1.0,inf,True,False
q20537,29.0,inf,True,False
q20538,34.0,19.0,True,True
q20539,2.0,3.0,True,True
q20540,9.0,inf,True,False
q20541,38.0,inf,True,False
q20542,96.0,inf,False,False
q20543,1.0,inf,True,False
q20544,39.0,inf,True,False
q20545,7.0,12.0,True,True
q20546,3.0,7.0,True,True
q20547,1.0,inf,True,False
q20548,1.0,1.0,True,True
q20549,9.0,2.0,True,True
q20550,18.0,inf,True,False
q20551,36.0,25.0,True,True
q20552,19.0,inf,True,False
q20553,10.0,inf,True,False
q20554,14.0,10.0,True,True
q20555,7.0,60.0,True,False
q20556,15.0,21.0,True,True
q20557,3.0,32.0,True,True
q20558,40.0,inf,True,False
q20559,4.0,57.0,True,False
q20560,77.0,inf,False,False
q20561,26.0,inf,True,False
q20562,724.0,inf,False,False
q20563,31.0,inf,True,False
q20564,2.0,2.0,True,True
q20565,67.0,inf,False,False
q20566,inf,inf,False,False
q20567,2.0,inf,True,False
q20568,1.0,75.0,True,False
q20569,9.0,inf,True,False
q20570,36.0,37.0,True,True
q20571,6.0,10.0,True,True
q20572,56.0,9.0,False,True
q20573,1.0,4.0,True,True
q20574,48.0,inf,False,False
q20575,1.0,17.0,True,True
q20576,1.0,8.0,True,True
q20577,3.0,24.0,True,True
q20578,1.0,inf,True,False
q20579,67.0,inf,False,False
q20580,2.0,41.0,True,False
q20581,321.0,inf,False,False
q20582,7.0,13.0,True,True
q20583,2.0,inf,True,False
q20584,3.0,28.0,True,True
q20585,1.0,26.0,True,True
q20586,4.0,inf,True,False
q20587,5.0,5.0,True,True
q20588,2.0,52.0,True,False
q20589,8.0,inf,True,False
q20590,12.0,inf,True,False
q20591,48.0,inf,False,False
q20592,4.0,26.0,True,True
q20593,6.0,inf,True,False
q20594,1.0,18.0,True,True
q20595,6.0,14.0,True,True
q20596,2.0,52.0,True,False
q20597,1.0,33.0,True,True
q20598,6.0,inf,True,False
q20599,8.0,37.0,True,True
q20600,18.0,19.0,True,True
q20601,9.0,59.0,True,False
q20602,14.0,34.0,True,True
q20603,9.0,7.0,True,True
q20604,5.0,8.0,True,True
